Date,Exercise,Reps,Weight,
05/05/2020,Snatch,1,65,
05/05/2020,Snatch,1,70,
05/05/2020,Snatch,1,75,
05/05/2020,Snatch,1,80,
05/05/2020,Snatch,1,85,
,,,,
05/05/2020,Snatch Pull,3,80,
05/05/2020,Snatch Pull,3,80,
05/05/2020,Snatch Pull,3,80,
05/05/2020,Snatch Pull,3,80,
05/05/2020,Snatch Pull,3,80,
,,,,
05/05/2020,Back Squat,3,50,
05/05/2020,Back Squat,3,60,
05/05/2020,Squat,3,70,
05/05/2020,Squat,3,80,
05/05/2020,Squat,3,80,
05/05/2020,Squat,3,80,
05/05/2020,Squat,3,80,
05/05/2020,Squat,3,80,
,,,,
07/05/2020,Clean,2,30,
07/05/2020,Clean,2,50,
07/05/2020,Clean,2,70,
07/05/2020,Clean,1,80,
07/05/2020,Clean,1,90,
07/05/2020,Clean,1,100,
,,,,
07/05/2020,Clean Pull,3,100,
07/05/2020,Clean Pull,3,100,
07/05/2020,Clean Pull,3,100,
07/05/2020,Clean Pull,3,100,
07/05/2020,Clean Pull,3,100,
,,,,
07/05/2020,Front Squat,3,50,
07/05/2020,Front Squat,3,60,
07/05/2020,Front Squat,3,70,
07/05/2020,Front Squat,3,70,
07/05/2020,Front Squat,3,70,
07/05/2020,Front Squat,3,70,
07/05/2020,Front Squat,3,70,
,,,,
12/05/2020,Snatch Balance,3,20,
12/05/2020,Snatch Balance,3,40,
12/05/2020,Snatch Balance,3,50,
12/05/2020,Snatch Balance,3,60,
12/05/2020,Snatch Balance,3,70,
12/05/2020,Snatch Balance,3,70,
12/05/2020,Snatch Balance,3,70,
12/05/2020,Snatch Balance,3,70,
12/05/2020,Snatch Balance,3,70,
,,,,
12/05/2020,Snatch Pull,3,50,
12/05/2020,Snatch Pull,3,70,
12/05/2020,Snatch Pull,3,90,
12/05/2020,Snatch Pull,3,90,
12/05/2020,Snatch Pull,3,90,
12/05/2020,Snatch Pull,3,90,
12/05/2020,Snatch Pull,3,90,
,,,,
12/05/2020,Back Squat,3,50,
12/05/2020,Back Squat,3,70,
12/05/2020,Back Squat,3,90,
12/05/2020,Back Squat,3,100,
12/05/2020,Back Squat,3,110,
12/05/2020,Back Squat,1,115,
12/05/2020,Back Squat,1,120,
12/05/2020,Back Squat,1,125,
,,,,
15/05/2020,Front Squat,3,20,
15/05/2020,Front Squat,3,40,
15/05/2020,Front Squat,3,60,
15/05/2020,Front Squat,3,70,
15/05/2020,Front Squat,3,70,
15/05/2020,Front Squat,3,70,
15/05/2020,Front Squat,3,70,
15/05/2020,Front Squat,3,70,
,,,,
15/05/2020,Clean Pull,3,70,
15/05/2020,Clean Pull,3,70,
15/05/2020,Clean Pull,3,70,
15/05/2020,Clean Pull,3,70,
15/05/2020,Clean Pull,3,70,
,,,,
15/05/2020,Press in Split,5,20,
15/05/2020,Press in Split,5,40,
15/05/2020,Press in Split,5,40,
15/05/2020,Press in Split,5,40,
15/05/2020,Press in Split,5,40,
15/05/2020,Press in Split,5,40,
,,,,
17/05/2020,Back Squat,3,40,
17/05/2020,Back Squat,3,60,
17/05/2020,Back Squat,3,70,
17/05/2020,Back Squat,3,70,
17/05/2020,Back Squat,3,70,
17/05/2020,Back Squat,3,70,
17/05/2020,Back Squat,3,70,
,,,,
17/05/2020,Clean Pull Hover,3,70,
17/05/2020,Clean Pull Hover,3,70,
17/05/2020,Clean Pull Hover,3,70,
17/05/2020,Clean Pull Hover,3,70,
17/05/2020,Clean Pull Hover,3,70,
,,,,
20/05/2020,Back Squat,3,20,
20/05/2020,Back Squat,3,40,
20/05/2020,Back Squat,3,60,
20/05/2020,Back Squat,3,80,
20/05/2020,Back Squat,3,90,
20/05/2020,Back Squat,3,90,
20/05/2020,Back Squat,3,90,
20/05/2020,Back Squat,3,90,
20/05/2020,Back Squat,3,90,
,,,,
20/05/2020,Snatch Pull,3,60,
20/05/2020,Snatch Pull,3,90,
20/05/2020,Snatch Pull,3,90,
20/05/2020,Snatch Pull,3,90,
20/05/2020,Snatch Pull,3,90,
20/05/2020,Snatch Pull,3,90,
,,,,
20/05/2020,Seated Press,5,50,
20/05/2020,Seated Press,5,50,
20/05/2020,Seated Press,5,50,
20/05/2020,Seated Press,5,50,
20/05/2020,Seated Press,5,50,
,,,,
22/05/2020,Front Squat,3,20,
22/05/2020,Front Squat,3,40,
22/05/2020,Front Squat,3,60,
22/05/2020,Front Squat,3,80,
22/05/2020,Front Squat,3,90,
22/05/2020,Front Squat,1,100,
22/05/2020,Front Squat,1,105,
22/05/2020,Front Squat,1,107,
22/05/2020,Front Squat,1,108,
,,,,
22/05/2020,Clean Pull,3,60,
22/05/2020,Clean Pull,3,90,
22/05/2020,Clean Pull,3,100,
22/05/2020,Clean Pull,3,110,
22/05/2020,Clean Pull,3,115,
22/05/2020,Clean Pull,3,115,
22/05/2020,Clean Pull,3,115,
22/05/2020,Clean Pull,1,120,
22/05/2020,Clean Pull,1,130,
,,,,
24/05/2020,Snatch Balance,3,20,
24/05/2020,Snatch Balance,3,40,
24/05/2020,Snatch Balance,3,50,
24/05/2020,Snatch Balance,3,60,
24/05/2020,Snatch Balance,3,80,
24/05/2020,Snatch Balance,1,85,
24/05/2020,Snatch Balance,1,90,
,,,,
24/05/2020,Snatch Pull,3,60,
24/05/2020,Snatch Pull,3,80,
